#SampleID	Species	Year	Type	Plate	Well
MOCK_ATPU1-1	MOCK	NA	MOCK	1	A1
PCR_BLANK_ATPU1-1	PCR_BLANK	NA	PCR_BLANK	1	B1
ATPU22_1	ATPU	2022	SAMPLE	1	C1
ATPU22_2	ATPU	2022	SAMPLE	1	D1
ATPU22_3	ATPU	2022	SAMPLE	1	E1
ATPU22_4	ATPU	2022	SAMPLE	1	F1
ATPU22_5	ATPU	2022	SAMPLE	1	G1
ATPU22_6	ATPU	2022	SAMPLE	1	H1
ATPU22_7	ATPU	2022	SAMPLE	1	A2
BLANK_ATPU1-1	EXT_BLANK	NA	EXT_BLANK	1	B2
ATPU22_8	ATPU	2022	SAMPLE	1	C2
ATPU22_9	ATPU	2022	SAMPLE	1	D2
ATPU22_10	ATPU	2022	SAMPLE	1	E2
ATPU22_11	ATPU	2022	SAMPLE	1	F2
ATPU22_12	ATPU	2022	SAMPLE	1	G2
ATPU22_13	ATPU	2022	SAMPLE	1	H2
ATPU22_14	ATPU	2022	SAMPLE	1	A3
ATPU22_15	ATPU	2022	SAMPLE	1	B3
ATPU22_16	ATPU	2022	SAMPLE	1	C3
ATPU22_17	FLD_BLANK	2022	FLD_BLANK	1	D3
ATPU22_18	ATPU	2022	SAMPLE	1	E3
ATPU22_19	ATPU	2022	SAMPLE	1	F3
ATPU22_20	ATPU	2022	SAMPLE	1	G3
ATPU22_21	ATPU	2022	SAMPLE	1	H3
ATPU22_22	ATPU	2022	SAMPLE	1	A4
ATPU22_23	ATPU	2022	SAMPLE	1	B4
ATPU22_24	ATPU	2022	SAMPLE	1	C4
BLANK_ATPU1-2	EXT_BLANK	NA	EXT_BLANK	1	D4
ATPU22_25	ATPU	2022	SAMPLE	1	E4
ATPU22_26	ATPU	2022	SAMPLE	1	F4
ATPU22_27	ATPU	2022	SAMPLE	1	G4
ATPU22_28	ATPU	2022	SAMPLE	1	H4
ATPU22_29	ATPU	2022	SAMPLE	1	A5
ATPU22_30	ATPU	2022	SAMPLE	1	B5
ATPU22_31	ATPU	2022	SAMPLE	1	C5
ATPU22_32	ATPU	2022	SAMPLE	1	D5
ATPU22_33	ATPU	2022	SAMPLE	1	E5
ATPU22_34	FLD_BLANK	2022	FLD_BLANK	1	F5
ATPU22_35	ATPU	2022	SAMPLE	1	G5
ATPU22_36	ATPU	2022	SAMPLE	1	H5
ATPU22_37	ATPU	2022	SAMPLE	1	A6
ATPU22_38	ATPU	2022	SAMPLE	1	B6
ATPU22_39	ATPU	2022	SAMPLE	1	C6
ATPU22_40	ATPU	2022	SAMPLE	1	D6
ATPU22_41	ATPU	2022	SAMPLE	1	E6
ATPU22_42	ATPU	2022	SAMPLE	1	F6
BLANK_ATPU1-3	EXT_BLANK	NA	EXT_BLANK	1	G6
ATPU22_43	ATPU	2022	SAMPLE	1	H6
ATPU22_44	FLD_BLANK	2022	FLD_BLANK	1	A7
ATPU22_45	ATPU	2022	SAMPLE	1	B7
ATPU22_46	ATPU	2022	SAMPLE	1	C7
ATPU22_47	ATPU	2022	SAMPLE	1	D7
ATPU22_48	ATPU	2022	SAMPLE	1	E7
ATPU22_49	ATPU	2022	SAMPLE	1	F7
ATPU22_50	ATPU	2022	SAMPLE	1	G7
ATPU22_51	ATPU	2022	SAMPLE	1	H7
ATPU22_52	ATPU	2022	SAMPLE	1	A8
ATPU22_53	ATPU	2022	SAMPLE	1	B8
ATPU22_54	ATPU	2022	SAMPLE	1	C8
ATPU22_55	ATPU	2022	SAMPLE	1	D8
ATPU22_56	ATPU	2022	SAMPLE	1	E8
ATPU22_57	ATPU	2022	SAMPLE	1	F8
ATPU22_58	ATPU	2022	SAMPLE	1	G8
BLANK_ATPU1-4	EXT_BLANK	NA	EXT_BLANK	1	H8
BLANK_ATPU1-5	EXT_BLANK	NA	EXT_BLANK	1	A9
ATPU22_59	ATPU	2022	SAMPLE	1	B9
ATPU22_60	FLD_BLANK	2022	FLD_BLANK	1	C9
ATPU22_61	ATPU	2022	SAMPLE	1	D9
ATPU22_62	ATPU	2022	SAMPLE	1	E9
ATPU22_63	ATPU	2022	SAMPLE	1	F9
ATPU22_64	ATPU	2022	SAMPLE	1	G9
ATPU22_65	ATPU	2022	SAMPLE	1	H9
ATPU22_66	ATPU	2022	SAMPLE	1	A10
ATPU22_67	ATPU	2022	SAMPLE	1	B10
ATPU22_68	ATPU	2022	SAMPLE	1	C10
ATPU22_69	ATPU	2022	SAMPLE	1	D10
BLANK_ATPU1-6	EXT_BLANK	NA	EXT_BLANK	1	E10
ATPU22_70	FLD_BLANK	2022	FLD_BLANK	1	F10
ATPU22_71	ATPU	2022	SAMPLE	1	G10
ATPU22_72	ATPU	2022	SAMPLE	1	H10
ATPU22_73	ATPU	2022	SAMPLE	1	A11
ATPU22_74	ATPU	2022	SAMPLE	1	B11
ATPU22_75	ATPU	2022	SAMPLE	1	C11
ATPU22_76	ATPU	2022	SAMPLE	1	D11
ATPU22_77	ATPU	2022	SAMPLE	1	E11
ATPU22_78	ATPU	2022	SAMPLE	1	F11
ATPU22_79	ATPU	2022	SAMPLE	1	G11
ATPU22_80	ATPU	2022	SAMPLE	1	H11
ATPU22_81	ATPU	2022	SAMPLE	1	A12
ATPU22_82	ATPU	2022	SAMPLE	1	B12
ATPU22_83	ATPU	2022	SAMPLE	1	C12
BLANK_ATPU1-7	EXT_BLANK	NA	EXT_BLANK	1	D12
ATPU22_84	ATPU	2022	SAMPLE	1	E12
ATPU22_85	ATPU	2022	SAMPLE	1	F12
ATPU22_86	ATPU	2022	SAMPLE	1	G12
PCR_BLANK_ATPU1-2	PCR_BLANK	NA	PCR_BLANK	1	H12
MOCK_ATPU2-1	MOCK	NA	MOCK	2	
PCR_BLANK_ATPU2-1	PCR_BLANK	NA	PCR_BLANK	2	
ATPU22_87	ATPU	2022	SAMPLE	2	
ATPU22_88	ATPU	2022	SAMPLE	2	
ATPU22_89	ATPU	2022	SAMPLE	2	
ATPU22_90	ATPU	2022	SAMPLE	2	
ATPU22_91	ATPU	2022	SAMPLE	2	
ATPU22_92	ATPU	2022	SAMPLE	2	
ATPU22_93	ATPU	2022	SAMPLE	2	
BLANK_ATPU2-1	EXT_BLANK	NA	EXT_BLANK	2	
ATPU22_94	ATPU	2022	SAMPLE	2	
ATPU22_95	ATPU	2022	SAMPLE	2	
ATPU22_96	ATPU	2022	SAMPLE	2	
ATPU22_97	FLD_BLANK	2022	FLD_BLANK	2	
